Combination,Wins,Losses,Total Games,Win Rate
"('Pyke', 'Samira', 'Skarner', 'Taliyah', 'Vi')",3,0,3,1.0
"('Diana', 'Hwei', 'Jinx', 'Skarner', 'Twisted Fate')",1,0,1,1.0
"(""Kog'Maw"", 'Lulu', 'Olaf', 'Taliyah', 'Yone')",1,0,1,1.0
"('Akshan', 'Jax', 'Rumble', 'Varus', ""Vel'Koz"")",1,0,1,1.0
"('Cassiopeia', 'Corki', 'Gangplank', 'Karthus', 'Nautilus')",1,0,1,1.0
"('Blitzcrank', 'Brand', ""Kai'Sa"", 'Malphite', 'Tristana')",1,0,1,1.0
"('Caitlyn', 'Diana', 'Graves', 'Nautilus', 'Twisted Fate')",1,0,1,1.0
"('Ashe', 'Camille', 'Ivern', 'Singed', 'Tristana')",1,0,1,1.0
"('Graves', 'Hwei', 'Lucian', 'Milio', 'Singed')",1,0,1,1.0
"('Blitzcrank', 'Jax', 'Rumble', 'Varus', 'Yone')",1,0,1,1.0
